ID,Intitule,Entreprise,Pays,Date,Niveau,Experience_lettre,Lien,Lieu de travail,Date d'expiration,Niveau de poste,Secteur d'activité,Niveau d'étude (diplome),Nombre de postes,Type de contrat,Provided Text,Nom de l'entreprise,Experience,Classe
1,Technicien de Traitement des Eaux (H/F),SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),"Abidjan, Côte d'ivoire",Avant hier,Confirmé / Expérimenté,1 à 2 ans,0,"Abidjan, Côte d'ivoire",17 Janvier,Confirmé / Expérimenté,Industries,TS Bac +2,02,CDD,"Description:La société SOLIBRA recrute pour son usine de Yopougon Zone industrielle 1 :2 (deux) TECHNICIENS DE TRAITEMENT DES EAUXLe candidat aura pour mission:                     Assurer le traitement de l’eau utilisée pour la production des BGI (Boissons gazeuses) conformément aux normes et procédures en vigueur. Le candidat aura pour tâche:   ·        Effectuer des analyses physico-chimiques de l’eau en respectant les périodicités et les instructions de travail en vigueur ;·        Assurer le traitement de l’eau servant à la production des boissons gazeuses ;·        Constater et effectuer une maintenance de premier niveau des dysfonctionnements, dépassements de paramètre ou arrêts des installations, le cas échéant les signaler à la hiérarchie ;·        Assurer l’appoint des solutions de traitement (Sel, anti tartre, chlore…) ;·        Informer la salle des machines pour d’éventuelles coupures d’eaux et baisses de pression ;·        Produire un rapport des incidents survenus lors des quarts de travail et les consigner dans le logiciel de travail ;·        Prélever les eaux à transmettre au laboratoire pour dégustation ;·        Effectuer les analyses des eaux des chaudières et faire des réglages de pompe en cas d’anomalies ;·        Préparer les produits d’alimentation des chaudières ;·        Préparer les produits de traitement des eaux usées ;·        Assurer le traitement des tours de refroidissement et des eaux usées de l’usine (analyses et corrections en cas d’anomalies) ;·        Effectuer les inventaires des réactifs ;·        Produire des rapports des activités à transmettre à la hiérarchie ;·        Renseigner tous les documents d’exploitation et les intégrer dans le logiciel de travail ;·        S’assurer du respect des méthodes de travail, des règles et procédures de qualité, hygiène, sécurité et environnement ; ·        Mener toutes les actions visant à maîtriser l’impact des activités de l’entreprise sur la SST, l’environnement, la qualité et l’hygiène ;·        Appliquer les règles d’hygiène, de sécurité et d’environnement ainsi que toutes les mesures en vigueur de prévention des accidents sur le poste de travail ;  Effectuer toutes autres tâches confiées par la hiérarchie dans le cadre de ses activités.    Profil Recherché:  BAC+2 en Agroalimentaire ou équivalent 1 ans dans une fonction similaireRéactivité , sens de l’organisation, sens de la communication    Rigueur, Esprit d’équipe Date limite de dépôt des candidatures :  17/01/2024",,2,Q1
2,Comptable Paie (H/F),SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),"Abidjan, Côte d'ivoire",Avant hier,Confirmé / Expérimenté,1 à 2 ans,0,"Abidjan, Côte d'ivoire",17 Janvier,Confirmé / Expérimenté,Industries,TS Bac +2,01,CDD,"Description:La société SOLIBRA recrute pour son usine de Yopougon Zone industrielle 1 :1 (un) COMPTABLE PAIE (H/F)Le candidat aura pour mission:                     Assurer la paie des employés du site Le candidat aura pour tâche:     ·        Extraire les heures supplémentaires par service et les renseigner dans le logiciel de travail ;·        Vérifier la part de quotité saisissable avant autorisation de prêt ;·        Paramétrer les échéances de prélèvement de prêt sur salaire ;·        Assurer le traitement de la paie des ouvriers et employés ;·        Assurer le traitement et la saisie des congés et absences·        Imprimer et distribuer les bulletins de salaire ;·        Répondre aux réclamations des salariés ;·        Assurer la sauvegarde des éléments de paie ;·        Assurer la paie des allocations familiales ;·        Récupérer les acomptes et tous les règlements en cours de mois (traitement et paiement des acomptes) ;·        Assurer le traitement des frais de mission des employés ;·        S’assurer du respect des méthodes de travail, des règles et procédures de qualité, hygiène, sécurité et environnement ;·        Mener toutes les actions visant à maîtriser l’impact des activités de l’entreprise sur la SST, l’environnement, la qualité et l’hygiène ;·        Appliquer les règles d’hygiène, de sécurité et d’environnement ainsi que toutes les mesures en vigueur de prévention des accidents sur le poste de travail ;  Effectuer toutes autres tâches confiées par la hiérarchie dans le cadre de ses activités.Profil Recherché:   BAC+2 en Ressources Humaines, Comptabilité ou équivalent   2 ans dans une fonction similaire  Rigueur, Esprit d’équipeRéactivité , sens de l’organisation, sens de la communicationDate limite de dépôt des candidatures :  17/01/2024",,2,Q1
3,Stagiaire Technicien de laboratoire (BOUAFLE),SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),"Bouafle, Côte d'ivoire",09 Janvier,Débutant / Junior,Moins d’un an,0,"Bouafle, Côte d'ivoire",08 Avril,Débutant / Junior| Stagiaire / Etudiant| Jeune diplômé,Industries,"TS Bac +2| Licence (LMD), Bac + 3",01,Stage – Temps partiel,"La Société de Limonaderies et Boissons Rafraichissantes d’Afrique recrute un (01) Stagiaire Technicien de laboratoire pour son site basé à Bouaflé. Missions Vous aurez pour principale mission de faire la saisie de données et de réaliser des analyses physicochimiques et microbiologiques.Profils recherchésFormation Requise : BAC+2/3 Industrie Agroalimentaire et Chimique ou équivalentExpérience Professionnelle : 06 mois d’expérience avérée dans une fonction similaire Compétences :- Maîtrise des outils informatiques (Excel, Word, …)- Bonne capacité d’adaptation- Savoir travailler en autonomie Date limite des candidatures : 17/01/2024NB : Poste basé à BOUAFLE",,1,Q1
4,Commercial Junior (hôtellerie) H/F,YESHI GROUP,Côte d'ivoire,08 Janvier,Débutant / Junior,3 à 5 ans,0,"Côte d'ivoire| Abidjan, Côte d'ivoire",07 Avril,Débutant / Junior,"BTP, Construction, Immobilier",,01,CDI| CDD,"Missions du posteDéfinir et identifier les cibles commercialesProspecter les potentiels clientsDévelopper l’activité clientFidéliser la clientèleMettre en place de contrats hébergement et restaurationGérer les séminaires et manifestations au sein des établissementsPromouvoir les différents services de l’hôtelCoordonner la stratégie marketing et communicationÉtablir des rapports d’activitésÉlaborer une proposition commerciale en conformité avec la politique commercialeParticiper à l'élaboration de la proposition techniqueSuivre l'avancement des projets.  Profil recherchéÊtre BilingueAvoir un excellent sens de la communication Avoir une connaissance des logiciels hôteliers et de l’outil informatiqueAvoir un excellent sens de l’accueil, du service et du leadershipAvoir une grande capacité d’écoute et de négociationAvoir une excellente présentationÊtre Habileté dans l’organisationSavoir Prendre des initiativesAvoir une aptitude à la gestion du stress Avoir une grande disponibilité et réactivité Avoir une grande disponibilité et une ouverture à évoluer dans un projet en phase de démarrageAvoir une expérience significative dans un poste similaire dans un hôtel ou restaurant de prestige.",,4,Q2
5,Superviseur Marketing Opérationnel,KOMIAN AI,Côte d'ivoire,05 Janvier,Responsable d'équipe,3 à 5 ans,0,Côte d'ivoire,04 Avril,Responsable d'équipe| Confirmé / Expérimenté,"Informatique, Télécom, Internet","Licence (LMD), Bac + 3| Master 1, Licence  Bac + 4| Master 2, Ingéniorat, Bac + 5",01,CDD,"KOMIAN IA est une entreprise innovante dans le domaine de l'éducation et de l'intelligence artificielle. Dans le cadre de notre stratégie de développement, nous sommes à la recherche d'un(e)  Superviseur pour piloter la promotion du produit et la création des comptes UTILISATEURS sur le terrain.Nous offrons un environnement de travail stimulant, une équipe passionnée et engagée, ainsi que des perspectives de développement professionnel au sein d'une entreprise en pleine croissance.Missions En tant que Superviseur, votre mission principale sera de superviser et de coordonner l'équipe de commerciaux chargée faire connaitre le produit et de procéder à la création des comptes UTILISATEURS sur le terrain en fonction des zones ciblés. Vous devrez vous assurer de l'efficacité et de la qualité du travail effectué, en veillant à ce que les objectifs fixés soient atteints de manière optimale.Responsabilités Gérer et encadrer une équipe de commerciaux chargée de la promotion du produit ainsi que la création des comptes UTILISATEURS.Planifier les tournées et les visites des commerciaux dans des lieux stratégiques de chaque commune.Assurer le suivi des performances individuelles et collectives de l'équipe.Fournir une formation continue aux commerciaux pour améliorer leurs compétences et leurs résultats.Collaborer avec d'autres départements pour assurer une bonne communication et une coordination efficace. Profil Recherché Expérience similaire dans le domaine de la téléphonie mobile serait un grand atout ;Expérience préalable en supervision d'équipe dans le domaine commercial.Capacité à travailler de manière autonome.Excellentes compétences en communication et en gestion des relations interpersonnelles.Fortes compétences d'organisation et de planification.Capacité à travailler dans un environnement dynamique avec des objectifs ambitieux.Savoir Faire Connaissance approfondie des techniques de vente et de négociation.Capacité à analyser les résultats et à identifier les opportunités d'amélioration.Excellente maîtrise des outils informatiques et des logiciels de gestion.Bonne connaissance du secteur de l'éducation et de l'IA serait un plus.Si vous êtes prêt(e) à relever ce défi excitant et à contribuer à notre mission d'améliorer l'éducation grâce à la technologie, veuillez nous faire parvenir votre candidature (CV + lettre de motivation+ Prétention salariale)  en postulant à cette annonce. Rejoignez KOMIAN IA et participez à notre aventure passionnante au service de l'éducation !",,4,Q2
6,Assistant Social Entreprise - H/F,Société Générale Côte D'ivoire,Côte d'ivoire,05 Janvier,Confirmé / Expérimenté,3 à 5 ans,0,Côte d'ivoire,04 Avril,Confirmé / Expérimenté,Industries,"Master 1, Licence  Bac + 4| Master 2, Ingéniorat, Bac + 5",01                        poste ouvert,CDI,"ENTITE :                                                 Société Générale Côte d’IvoireUNITE DE TRAVAIL :                            Direction des Ressources HumainesREPORTE AU :                                       Superviseur de la Cellule Innovation SocialeTYPE DE CONTRAT :                           CDILOCALISATION :                                  AbidjanVOS MISSIONS AU QUOTIDIENRattaché(e) à la Cellule Innovation Sociale et Expérience Collaborateurs de la DRH, vous prenez part à l’accompagnement des collaborateurs dans une dynamique de transformations, en vous mettant à la disposition du collectif de travail et de l'ensemble de ses acteurs (lignes RH, managériales, etc.) et dans une démarche de collaboration pluridisciplinaire.Vous interviendrez notamment dans les actions de prévention, d'information et de conseil à destination de l'ensemble des collaborateurs.Concrètement, vous serez amené(e) à :·        Accompagner les agents rencontrant des difficultés, dans les domaines suivants : familial, travail, santé, handicap,·        Assurer l’écoute, l’aide, le conseil, l’information et l’orientation des agents·        Accompagner les agents tout au long de leur carrière : arrêt maladie, mobilité, fin de carrière,·        Participer en collaboration avec la DRH et la médecine du travail à la prévention des troubles psychosociaux,·        S’associer à des projets pouvant contribuer à des actions de prévention et d’amélioration des conditions de travail des professionnels dans le cadre de la politique de la banque,·        Apporter un éclairage social et assurer la veille spécifique à son domaine,·        Evaluer et analyser les situations rencontrées afin de conseiller et d'orienter les personnes vers les partenaires, internes ou externes, adaptés ;·        Tenir un rôle de vigilance et d'alerte auprès de la DRH et du CSSCT, établir le rapport d'activité global et être force de propositions·        Proposer et animer des événements collectifs sur des thématiques sociales (retraite, prévoyance, gestion du budget familial, etc.).·        Etc.ET SI C’ETAIT VOUS ?·        Vous êtes issu(e) d'une  formation supérieure BAC+ 4 /5 complétée si possible par une formation d'Assistant(e) Social(e) ;·        Vous justifiez d’une expérience professionnelle significative dans une fonction similaire idéalement acquise en Entreprise ;·        Vous savez diagnostiquer et analyser les causes des difficultés évoquées par les salariés pour élaborer et proposer un projet d’aide et d’accompagnement ;·        Vous savez mener de front différents dossiers en faisant preuve de rigueur et de réactivité ;·        Vous entretenez des relations de qualité avec des interlocuteurs variés ;·        Nous recherchons en plus, des candidats qui avec les aptitudes et compétences suivantes :o   Esprit d’analyse ;o   Bonne capacité d’adaptation ;o   Sens de l’écoute et de l’empathieo   Rigueur dans le suivi des dossiers et la gestion des prioritésPLUS QU’UN POSTE, UN TREMPLINAprès une expérience réussie dans cette fonction, vous pouvez évoluer vers des fonctions à responsabilités plus élevées dans divers des métiers au sein de la banque ou à l’international.POURQUOI NOUS CHOISIR ?Chez Société Générale, nous sommes convaincus que les personnes sont motrices du changement, et que le monde de demain sera fait de toutes leurs initiatives, des plus petites aux plus ambitieuses.Que vous nous rejoigniez pour quelques mois, quelques années ou toute votre carrière, ensemble nous avons les moyens d’avoir un impact positif sur l’avenir. Créer, oser, innover, entreprendre font partie de notre ADN.Si vous aussi vous souhaitez être dans l’action, évoluer dans un environnement stimulant et bienveillant, vous sentir utile au quotidien et développer ou renforcer votre expertise, nous sommes faits pour nous rencontrer !Vous hésitez encore ?Sachez que nos collaborateurs peuvent s’engager quelques jours par an pour des actions de solidarité sur leur temps de travail : parrainer des personnes en difficulté dans leur orientation ou leur insertion professionnelle, participer à l’éducation financière de jeunes en apprentissage ou encore partager leurs compétences avec une association. Les formats d’engagement sont multiples.Date de soumissionCV à envoyer avant le 20 Janvier 2024",Société Générale Côte D'ivoire,4,Q2
7,Stagiaire Assistante de Direction,Société Générale  Afrique de l'ouest ( Centre d'Expertise AFS),"Abidjan, Côte d'ivoire",04 Janvier,Stagiaire / Etudiant,Moins d’un an,0,"Abidjan, Côte d'ivoire",03 Avril,Stagiaire / Etudiant,"Banque, Assurance, Finance","TS Bac +2| Licence (LMD), Bac + 3",01,Stage – Temps partiel,"Nous recrutons pour le Hub Assistantes de Direction du Groupe Société GénéraleUne Stagiaire  Assistante de DirectionEnvironnement de Travail  Vous rejoindrez le Hub Assistantes de Direction du Groupe Société Générale dont le périmètre d’action est celui de la Direction Régionale Afrique de l’Ouest, à savoir huit filiales du groupe Société Générale implantées dans la région. Missions du Poste  Rattachée aux Assistantes de Direction, la stagiaire assistante de Direction sera chargée de :  -        Gérer l’accueil physique  -        Gérer les appels téléphoniques (traitement, filtrage, renseignement, transcription des messages)  -        Gérer la correspondance entrante  ·       Ouverture, édition et mise à disposition aux Directeurs sur votre périmètre  ·       Enregistrement, tri, traitement, diffusion, suivi et archivage  ·       Suivi des suites à donner auprès des destinataires agrées  -        Gérer la correspondante sortante  -        Gérer les agendas des Directeurs  -        Préparation des réunions de travail, des rendez-vous et gestion des déplacements  -        Rédaction et mise en forme de divers documents : courriers, notes, rapports, supports de présentation  -        Gestion de la réservation des salles de réunion  -        Gestion des stocks et commande de fournitures de bureau    Formation  ·       BTS en assistanat de Direction ou équivalent/ Licence de gestion Expérience  ·       Expérience de 6 mois minimum dans une fonction similaire Savoir faire  ·       Maîtrise de l’outil bureautique (Pack Office)  ·       Bonne capacité d’analyse  ·       Aptitudes rédactionnelles et maîtrise de l’orthographe  ·       Bonne capacité d’adaptation  ·       Bonne gestion du temps Savoir être  ·       Excellente présentation  ·       Aisance relationnelle et facilité d’expression  ·       Dynamisme  ·       Sens de la communication de l’information dans le respect du secret professionnel et de la confidentialité  ·       Disponibilité et réactivité  ·       Sens de l’autonomie te du travail en équipe  ·       Capacité à gérer la pression    Candidater : Pour faire acte de candidature, veuillez envoyer votre CV actualisé Délai : 20/01/2024 NB : Seules les candidatures présélectionnées seront contactées.",,1,Q1
8,Télévendeur/Téléconseiller,OLSY GROUP,"Abidjan, Côte d'ivoire",04 Janvier,Débutant / Junior,Moins d’un an,0,"Abidjan, Côte d'ivoire",03 Avril,Débutant / Junior,Services,TS Bac +2,10,CDD,"Nous recrutons des téléconseillers dynamiques et motivés pour rejoindre notre équipe.Si vous êtes passionnés par le service client et dotés d'une expérience dans ce métier.Nous vous invitons à participer à notre processus de recrutement le 18 et le 19 janvier 2024 de 09h à 15h à notre siège sis à Cocody Angré 9ème Tranche au Rond Point CNPS.NB: Veuillez vous munir de votre CV actualisé s'il vous plaît. Ainsi, confirmer votre présence en postulant à cette annonce",,1,Q1
9,Stagiaire Professionnel Assistant (e) Marketing,Entreprise anonyme,"Abidjan, Côte d'ivoire",04 Janvier,Débutant / Junior,Moins d’un an,0,"Abidjan, Côte d'ivoire",Aujourd'hui,Débutant / Junior,"BTP, Construction, Immobilier","Licence (LMD), Bac + 3",01                        poste ouvert,Stage – Temps partiel| Pré-emploi,"Intervenant dans le secteur de l’industrie chimique du bâtiment, une entreprise recherche un(e) Stagiaire professionnel Assistant (e) Marketing.Profil de CandidatVous êtes titulaire d’un BAC + 3 en Marketing ou tout autre diplôme équivalent. Vous avez une expérience d’au moins six (06) mois dans le domaine du Marketing, vous êtes capable de gérer un stock matériel pub, concevoir des retroplannings et de suivre un budget ; vous maîtrisez les logiciels de bureautique (World, Excel, Powerpoint,), les logiciels de conception (In design, Photoshop, Illustrator). Vous avez une bonne capacité d’analyse et de synthèse, le sens de l'innovation, un bon sens du relationnel. Vous souhaitez rejoindre une entreprise fondée sur des principes et des valeurs garants de la performance de son personnel, faites parvenir votre Curriculum Vitae.",Entreprise anonyme,1,Q1
10,Développeur Informatique,AKWABA TECHNOLOGIES SOLUTIONS,Côte d'ivoire,04 Janvier,Confirmé / Expérimenté,1 à 2 ans,0,Côte d'ivoire,03 Avril,Débutant / Junior| Confirmé / Expérimenté,"Informatique, Télécom, Internet",,01,,"Tu es un.e geek proactif·ve, responsable, curieux·se, passionné·e par les technologies digitales ? Tu es ponctuel, rigoureux et discipliné ? Rejoins notre équipe pour développer nos solutions innovantes à haute valeur ajoutéeTes responsabilités Développer les APIs et intégrer les flux internes ou tiersRésoudre les bugs et assurer le support techniqueGérer et optimiser les bases de donnéesAssurer la qualité d’un code facilement maintenable, scalable et documentéConcevoir et développer des fonctionnalitésContribuer à la définition d’architectures applicatives optimisées,Documenter le code produit et mettre en œuvre des revues de codes structurées,Tester, maintenir et faire évoluer les applicationsCollaborer avec les autres membres de l'équipe de conceptionFaire preuve d'initiative et proposer pro-activement des solutionsProfil recherchéMaîtriser Node.js, Python, C#, Java, Ruby,C++, PHP, MySQL, Postgresql, GIT,Être un passionné des technologies Libres / Open SourceÊtre très consciencieux-se et avoir le soucis du détailAvoir un très bon niveau en Français (un bon niveau en Anglais est ungros plus)Être un·e véritable geek, avoir de l’humour et être disciplinéSi tu penses que tu as l’esprit de dépassement de soi, si tu es un passionné du travail bien fait et de l’excellence, n'hésites pas à nous envoyer ta candidature en postulant à cette annonce !  Aucun délai de postulation n'est prévu, les dossiers de candidature seront étudiés au fur et à mesure de leur réception.",,2,Q1
